                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0399,                0.80049,                 1.2021,                0.86112,                0.93932,                0.94963,                0.70408,                0.95885,                0.50099,                  1.345,               0.008845,               0.008845,               0.008845
                     37,                 1.0381,                0.78696,                 1.2001,                0.87877,                0.93613,                0.94538,                 0.7062,                0.94054,                0.48915,                 1.3256,               0.008812,               0.008812,               0.008812
                     38,                 1.0331,                0.78519,                 1.1907,                0.87969,                0.92203,                0.94288,                0.70341,                0.93294,                0.48715,                 1.3216,               0.008779,               0.008779,               0.008779
                     39,                 1.0219,                0.77087,                 1.1902,                0.86901,                0.92635,                0.94257,                0.69971,                0.93574,                0.48963,                 1.3253,               0.008746,               0.008746,               0.008746
                     40,                 1.0261,                0.77382,                 1.1974,                0.89361,                0.91225,                0.94158,                0.70023,                0.93639,                 0.4828,                  1.323,               0.008713,               0.008713,               0.008713
                     41,                 1.0239,                0.77864,                 1.2021,                0.87417,                0.92277,                0.93572,                0.69705,                0.92997,                0.49151,                  1.315,                0.00868,                0.00868,                0.00868
                     42,                 1.0218,                  0.763,                 1.1928,                0.90018,                 0.9179,                0.95275,                0.71408,                0.91815,                0.46624,                 1.3069,               0.008647,               0.008647,               0.008647
                     43,                 1.0116,                0.76299,                  1.184,                0.89039,                0.91396,                0.94186,                0.70811,                0.91987,                 0.4777,                 1.3145,               0.008614,               0.008614,               0.008614
                     44,                 1.0138,                0.75707,                 1.1807,                0.87865,                0.93263,                0.94535,                0.70714,                0.92781,                0.47617,                  1.315,               0.008581,               0.008581,               0.008581
                     45,                 1.0105,                0.74913,                   1.19,                 0.8783,                0.92664,                0.94555,                 0.7142,                0.91298,                0.47312,                 1.3066,               0.008548,               0.008548,               0.008548
                     46,                 1.0051,                0.74794,                  1.184,                0.88372,                 0.9314,                0.94274,                0.70571,                0.91846,                0.46132,                 1.3088,               0.008515,               0.008515,               0.008515
                     47,                 1.0038,                 0.7409,                 1.1797,                0.89356,                0.93033,                0.94847,                0.71663,                0.91178,                0.45738,                 1.3014,               0.008482,               0.008482,               0.008482
                     48,                 1.0067,                0.74422,                 1.1802,                0.90859,                0.92652,                0.95364,                0.71711,                0.91983,                0.46538,                 1.3068,               0.008449,               0.008449,               0.008449
                     49,                0.99156,                0.73004,                 1.1726,                0.89016,                0.93992,                0.95365,                0.71674,                0.92374,                0.46211,                 1.3124,               0.008416,               0.008416,               0.008416
                     50,                 1.0009,                0.74978,                 1.1759,                0.89078,                0.93926,                0.94937,                0.71103,                0.92409,                0.46121,                 1.3091,               0.008383,               0.008383,               0.008383
                     51,                0.99857,                0.73421,                 1.1715,                0.89819,                 0.9409,                0.95286,                0.71639,                  0.917,                0.46857,                 1.3039,                0.00835,                0.00835,                0.00835
                     52,                0.99474,                0.73391,                 1.1783,                0.88534,                 0.9424,                0.95455,                0.71897,                0.90355,                0.45485,                 1.2933,               0.008317,               0.008317,               0.008317
                     53,                0.98722,                0.71664,                 1.1725,                0.88568,                0.94186,                0.95104,                0.71521,                0.91598,                0.44614,                 1.2989,               0.008284,               0.008284,               0.008284
                     54,                0.98986,                0.71587,                 1.1777,                0.91042,                0.92277,                0.95418,                0.72261,                0.91118,                0.44542,                 1.3022,               0.008251,               0.008251,               0.008251
                     55,                0.98498,                0.71806,                 1.1656,                0.91615,                0.92063,                0.95043,                0.72386,                0.89507,                0.44442,                 1.2885,               0.008218,               0.008218,               0.008218
                     56,                0.97923,                0.71186,                 1.1637,                0.89471,                0.95021,                0.95657,                0.72968,                0.88611,                0.44524,                 1.2811,               0.008185,               0.008185,               0.008185
                     57,                0.98112,                0.71242,                 1.1692,                0.90525,                0.93543,                 0.9525,                0.72356,                0.89834,                0.44336,                 1.2895,               0.008152,               0.008152,               0.008152
                     58,                0.97813,                0.70736,                 1.1611,                0.90009,                 0.9368,                0.95946,                0.72687,                0.88983,                0.43734,                 1.2829,               0.008119,               0.008119,               0.008119
                     59,                0.97266,                0.70293,                 1.1538,                0.90954,                 0.9383,                0.95912,                0.72691,                0.88939,                0.43476,                 1.2788,               0.008086,               0.008086,               0.008086
                     60,                0.96805,                0.69962,                 1.1546,                0.89863,                0.93528,                0.95534,                0.72635,                0.89235,                0.43971,                 1.2866,               0.008053,               0.008053,               0.008053
                     61,                0.95993,                0.69385,                 1.1496,                0.88821,                0.95806,                0.95581,                0.72888,                0.88433,                 0.4319,                  1.278,                0.00802,                0.00802,                0.00802
                     62,                0.96748,                 0.7041,                 1.1548,                0.91788,                0.93471,                0.96049,                0.73094,                0.88338,                0.42749,                 1.2743,               0.007987,               0.007987,               0.007987
                     63,                 0.9552,                0.68343,                 1.1495,                0.91795,                0.94698,                0.96226,                0.73297,                0.88368,                0.42435,                 1.2759,               0.007954,               0.007954,               0.007954
                     64,                0.95896,                0.68685,                 1.1443,                0.91477,                0.93152,                 0.9582,                0.72832,                0.87988,                0.42666,                 1.2729,               0.007921,               0.007921,               0.007921
                     65,                0.96242,                0.68618,                 1.1463,                0.91485,                0.93484,                0.95822,                0.73059,                0.88267,                0.42951,                 1.2735,               0.007888,               0.007888,               0.007888
                     66,                0.95669,                0.68796,                 1.1505,                0.91106,                0.92593,                 0.9565,                0.72895,                0.87994,                0.43105,                 1.2746,               0.007855,               0.007855,               0.007855
                     67,                 0.9551,                0.68135,                 1.1527,                0.90858,                0.94072,                0.96152,                0.73085,                0.89626,                0.42593,                 1.2856,               0.007822,               0.007822,               0.007822
                     68,                0.95053,                0.68404,                 1.1467,                0.91657,                0.93424,                0.96287,                0.74011,                0.87912,                0.42322,                 1.2708,               0.007789,               0.007789,               0.007789
                     69,                0.95225,                 0.6712,                 1.1464,                0.90811,                0.93549,                0.95783,                0.73473,                0.86851,                 0.4188,                 1.2613,               0.007756,               0.007756,               0.007756
                     70,                0.94857,                0.67798,                 1.1449,                0.90657,                0.93952,                0.96054,                0.73632,                0.87468,                0.42263,                  1.267,               0.007723,               0.007723,               0.007723
                     71,                0.94814,                0.67387,                  1.142,                0.92162,                0.93192,                0.96228,                0.73371,                0.87879,                0.41896,                 1.2739,                0.00769,                0.00769,                0.00769
                     72,                0.94634,                0.66555,                 1.1372,                0.90566,                0.93863,                0.95821,                0.73193,                0.87878,                0.41983,                 1.2759,               0.007657,               0.007657,               0.007657
                     73,                0.94236,                0.66547,                  1.145,                0.91064,                0.92195,                0.95433,                0.72723,                0.88055,                 0.4246,                 1.2682,               0.007624,               0.007624,               0.007624
                     74,                0.94057,                0.66372,                 1.1418,                0.91663,                0.94775,                0.96445,                0.74226,                0.86517,                0.41481,                 1.2621,               0.007591,               0.007591,               0.007591
                     75,                0.94203,                0.66431,                 1.1385,                0.91929,                0.93357,                0.96041,                0.73882,                0.87396,                0.41744,                 1.2667,               0.007558,               0.007558,               0.007558
                     76,                0.93859,                0.65927,                 1.1304,                0.90794,                0.93884,                0.95828,                0.73638,                0.86589,                0.41163,                 1.2596,               0.007525,               0.007525,               0.007525
                     77,                0.93693,                0.65978,                 1.1356,                0.91744,                 0.9419,                0.96212,                0.74268,                0.85128,                0.40597,                 1.2532,               0.007492,               0.007492,               0.007492
                     78,                 0.9379,                0.66861,                 1.1389,                0.90806,                0.93362,                0.95687,                 0.7357,                0.85878,                0.41275,                 1.2528,               0.007459,               0.007459,               0.007459
                     79,                0.93279,                0.65086,                 1.1313,                0.92304,                0.92662,                0.96517,                0.74376,                0.85679,                0.40819,                 1.2529,               0.007426,               0.007426,               0.007426
                     80,                0.93477,                0.65251,                 1.1327,                0.91463,                0.93931,                0.96375,                 0.7436,                0.86205,                0.40686,                 1.2564,               0.007393,               0.007393,               0.007393
                     81,                 0.9276,                0.65203,                 1.1297,                0.92406,                0.93065,                0.96533,                0.74201,                0.85783,                0.40179,                 1.2531,                0.00736,                0.00736,                0.00736
                     82,                0.92881,                0.65354,                 1.1283,                0.92321,                0.93807,                0.96308,                0.73699,                 0.8659,                0.40247,                  1.255,               0.007327,               0.007327,               0.007327
                     83,                0.92223,                0.64706,                 1.1289,                0.90405,                0.93968,                0.96031,                0.74093,                0.85476,                0.40695,                 1.2507,               0.007294,               0.007294,               0.007294
                     84,                0.92493,                0.63805,                 1.1277,                0.92663,                0.94388,                0.96827,                 0.7471,                0.86567,                0.39865,                 1.2571,               0.007261,               0.007261,               0.007261
                     85,                0.92926,                 0.6525,                 1.1196,                0.91042,                0.94243,                0.96688,                0.74829,                0.85555,                0.39999,                 1.2473,               0.007228,               0.007228,               0.007228
                     86,                0.93055,                0.64749,                 1.1285,                0.91316,                0.96511,                0.97016,                0.74163,                0.86478,                0.39445,                 1.2554,               0.007195,               0.007195,               0.007195
                     87,                0.92219,                0.63899,                  1.127,                0.92312,                0.93447,                 0.9666,                0.74877,                0.85155,                0.40066,                 1.2458,               0.007162,               0.007162,               0.007162
                     88,                0.91738,                0.63492,                 1.1191,                0.92407,                0.93402,                0.96783,                 0.7457,                0.85287,                0.40053,                 1.2482,               0.007129,               0.007129,               0.007129
                     89,                0.91977,                0.64398,                 1.1265,                0.92676,                0.93773,                0.97004,                0.74462,                  0.854,                0.39624,                 1.2492,               0.007096,               0.007096,               0.007096
                     90,                0.92347,                0.64482,                 1.1235,                0.92472,                0.94553,                0.96955,                0.75068,                0.85605,                0.39621,                 1.2524,               0.007063,               0.007063,               0.007063
                     91,                0.91913,                0.63874,                 1.1236,                0.91604,                0.93888,                  0.966,                0.74963,                0.84669,                0.39339,                 1.2442,                0.00703,                0.00703,                0.00703
                     92,                0.91365,                0.62915,                 1.1186,                0.91067,                0.94461,                0.96548,                0.74973,                0.84795,                0.39492,                 1.2467,               0.006997,               0.006997,               0.006997
                     93,                0.91026,                0.62665,                 1.1157,                0.92326,                0.94603,                0.96758,                0.75095,                0.85371,                0.39249,                 1.2471,               0.006964,               0.006964,               0.006964
                     94,                0.90889,                0.62769,                 1.1185,                0.92249,                0.96007,                0.97061,                0.75629,                0.84517,                0.38866,                 1.2412,               0.006931,               0.006931,               0.006931
                     95,                0.90983,                0.62572,                  1.126,                0.92372,                0.93897,                0.96904,                0.75879,                0.84285,                0.39002,                 1.2409,               0.006898,               0.006898,               0.006898
                     96,                0.91071,                0.62652,                 1.1174,                0.92117,                0.93617,                0.96589,                0.74953,                0.84796,                0.39635,                 1.2439,               0.006865,               0.006865,               0.006865
                     97,                0.90813,                  0.629,                 1.1176,                0.91466,                0.95275,                0.96977,                0.75378,                 0.8466,                 0.3884,                 1.2416,               0.006832,               0.006832,               0.006832
                     98,                0.90404,                0.61762,                 1.1137,                0.91877,                0.94844,                0.96703,                0.75283,                0.85058,                0.39357,                 1.2428,               0.006799,               0.006799,               0.006799
                     99,                0.89793,                0.62553,                 1.1104,                0.93276,                0.93674,                0.96899,                0.75297,                0.84469,                0.38701,                  1.236,               0.006766,               0.006766,               0.006766
                    100,                0.90447,                0.62609,                 1.1155,                0.91682,                0.93955,                0.96406,                0.75171,                0.84461,                0.38994,                 1.2347,               0.006733,               0.006733,               0.006733
                    101,                0.89478,                0.61181,                 1.1059,                0.89337,                0.96464,                0.96407,                 0.7519,                0.83948,                0.38437,                 1.2324,                 0.0067,                 0.0067,                 0.0067
                    102,                0.90567,                0.61655,                  1.116,                0.92442,                0.94368,                0.96862,                0.75323,                0.84944,                0.38727,                 1.2405,               0.006667,               0.006667,               0.006667
                    103,                0.89704,                 0.6078,                 1.1091,                0.92998,                0.94141,                0.96744,                0.75397,                0.83821,                0.38246,                 1.2349,               0.006634,               0.006634,               0.006634
                    104,                0.89534,                0.61234,                 1.1049,                0.89992,                0.96153,                0.96687,                0.75435,                0.83627,                0.38128,                 1.2322,               0.006601,               0.006601,               0.006601
                    105,                0.89927,                0.61385,                 1.1158,                0.92276,                0.94156,                0.96875,                0.75457,                0.83859,                0.38515,                  1.234,               0.006568,               0.006568,               0.006568
                    106,                0.89661,                0.61324,                 1.1171,                0.91657,                0.95076,                0.96877,                0.75503,                0.83811,                0.38008,                 1.2322,               0.006535,               0.006535,               0.006535
                    107,                0.89056,                0.60768,                 1.1039,                0.92602,                0.94407,                0.96735,                 0.7562,                0.83199,                0.38267,                 1.2281,               0.006502,               0.006502,               0.006502
                    108,                0.89213,                0.60891,                  1.111,                0.92498,                0.93875,                0.96803,                0.75503,                0.83362,                0.38223,                 1.2312,               0.006469,               0.006469,               0.006469
                    109,                0.88341,                0.60394,                 1.1042,                0.92647,                0.94616,                0.96653,                0.75612,                  0.837,                0.38115,                 1.2326,               0.006436,               0.006436,               0.006436
                    110,                 0.8883,                0.60241,                 1.1038,                0.91922,                0.95264,                0.96328,                0.74972,                0.83915,                0.38255,                 1.2372,               0.006403,               0.006403,               0.006403
                    111,                0.88963,                0.60619,                 1.1062,                 0.9239,                0.95041,                0.96592,                0.75399,                0.83704,                0.38105,                 1.2348,                0.00637,                0.00637,                0.00637
                    112,                0.88994,                0.60395,                 1.1041,                0.92093,                0.95562,                0.96632,                0.75166,                0.83846,                0.38019,                 1.2345,               0.006337,               0.006337,               0.006337
                    113,                 0.8847,                0.59753,                 1.0976,                0.91492,                 0.9504,                0.96431,                0.75444,                0.83568,                0.38008,                 1.2303,               0.006304,               0.006304,               0.006304
                    114,                0.88219,                0.60265,                 1.0987,                 0.9314,                0.95106,                0.96808,                0.76039,                0.82856,                0.37501,                 1.2252,               0.006271,               0.006271,               0.006271
                    115,                0.88338,                0.59911,                 1.1037,                0.93416,                0.94398,                0.96623,                 0.7525,                0.83299,                 0.3766,                 1.2288,               0.006238,               0.006238,               0.006238
                    116,                0.87698,                0.59014,                 1.0964,                0.91033,                0.95395,                0.96203,                0.75198,                0.83098,                0.37636,                 1.2281,               0.006205,               0.006205,               0.006205
                    117,                0.88097,                0.59325,                 1.1018,                 0.9066,                0.95339,                0.96054,                0.75106,                0.82889,                0.37641,                 1.2278,               0.006172,               0.006172,               0.006172
                    118,                0.87824,                0.59037,                 1.0976,                0.91764,                0.93929,                0.96015,                0.74872,                 0.8279,                0.37345,                 1.2273,               0.006139,               0.006139,               0.006139
                    119,                0.87877,                 0.5927,                 1.0968,                0.91533,                0.94644,                0.96118,                0.75185,                0.82726,                0.37459,                 1.2271,               0.006106,               0.006106,               0.006106
                    120,                 0.8738,                0.59356,                 1.0989,                0.91165,                 0.9572,                0.96232,                 0.7517,                0.82607,                0.37376,                 1.2257,               0.006073,               0.006073,               0.006073
                    121,                 0.8773,                0.59022,                 1.0947,                0.93427,                0.94468,                0.96996,                0.76312,                0.82495,                0.36932,                 1.2268,                0.00604,                0.00604,                0.00604
                    122,                0.86793,                0.58862,                 1.0922,                0.91821,                0.95989,                 0.9667,                0.75742,                 0.8286,                 0.3705,                 1.2263,               0.006007,               0.006007,               0.006007
                    123,                0.87626,                0.60016,                 1.1041,                0.92807,                0.95466,                0.96733,                0.75715,                 0.8253,                0.37125,                 1.2228,               0.005974,               0.005974,               0.005974
                    124,                0.86827,                0.58309,                 1.0906,                 0.9319,                0.94323,                0.96709,                 0.7573,                0.82946,                0.37332,                  1.228,               0.005941,               0.005941,               0.005941
                    125,                0.87412,                0.58993,                 1.0922,                0.92052,                0.96177,                  0.969,                0.76129,                0.82615,                0.36933,                 1.2249,               0.005908,               0.005908,               0.005908
                    126,                0.87054,                0.58302,                 1.0955,                0.93253,                0.94441,                0.96569,                0.75803,                  0.826,                0.36938,                 1.2229,               0.005875,               0.005875,               0.005875
                    127,                 0.8684,                0.58718,                 1.0933,                0.92734,                 0.9616,                0.96665,                0.75949,                0.82408,                 0.3672,                 1.2233,               0.005842,               0.005842,               0.005842
                    128,                 0.8664,                0.58647,                  1.092,                0.93421,                0.95489,                0.97118,                0.76291,                 0.8271,                0.36771,                 1.2249,               0.005809,               0.005809,               0.005809
                    129,                0.86664,                0.58511,                 1.0864,                0.93561,                0.95066,                0.97257,                0.76395,                0.82698,                 0.3676,                 1.2218,               0.005776,               0.005776,               0.005776
                    130,                0.86669,                0.57695,                 1.0898,                0.92811,                0.96083,                0.97059,                0.76185,                0.82768,                 0.3669,                 1.2229,               0.005743,               0.005743,               0.005743
                    131,                0.86909,                0.58269,                 1.0901,                0.93567,                0.95309,                0.97162,                0.76346,                0.82341,                0.36512,                   1.22,                0.00571,                0.00571,                0.00571
                    132,                0.86336,                0.58171,                 1.0875,                0.93312,                0.95242,                0.97353,                0.76684,                0.82098,                0.36391,                 1.2182,               0.005677,               0.005677,               0.005677
                    133,                0.85956,                0.57758,                 1.0914,                0.93369,                0.94514,                0.97111,                0.76232,                0.82197,                0.36734,                 1.2205,               0.005644,               0.005644,               0.005644
                    134,                 0.8603,                0.57477,                 1.0915,                0.92774,                0.94921,                0.97036,                0.76121,                 0.8245,                0.36753,                 1.2209,               0.005611,               0.005611,               0.005611
                    135,                0.85565,                0.57412,                 1.0814,                0.93116,                0.94664,                0.97087,                0.76502,                0.82157,                0.36563,                 1.2181,               0.005578,               0.005578,               0.005578
                    136,                 0.8626,                0.57369,                 1.0896,                0.92939,                  0.951,                0.97114,                0.76285,                0.82496,                0.36302,                 1.2198,               0.005545,               0.005545,               0.005545
                    137,                0.85273,                0.57162,                  1.084,                0.93927,                0.94287,                0.97185,                0.76474,                0.82633,                 0.3653,                 1.2205,               0.005512,               0.005512,               0.005512
                    138,                0.84786,                0.56113,                 1.0829,                0.92704,                 0.9538,                0.97035,                0.76386,                0.82357,                0.36518,                 1.2185,               0.005479,               0.005479,               0.005479
                    139,                0.85609,                0.57439,                 1.0834,                0.93021,                0.95732,                0.97224,                0.76817,                0.82069,                0.36289,                 1.2166,               0.005446,               0.005446,               0.005446
                    140,                0.85568,                0.57164,                 1.0805,                0.92355,                0.96472,                0.97323,                0.76796,                0.81699,                0.35966,                 1.2147,               0.005413,               0.005413,               0.005413
                    141,                 0.8536,                0.57215,                 1.0852,                0.93233,                 0.9569,                0.97155,                0.76515,                  0.815,                0.35938,                 1.2137,                0.00538,                0.00538,                0.00538
                    142,                0.85015,                0.57209,                 1.0833,                 0.9397,                0.94044,                0.97124,                0.76821,                0.81322,                 0.3622,                 1.2139,               0.005347,               0.005347,               0.005347
                    143,                0.85162,                0.57205,                 1.0857,                0.92881,                0.95044,                0.97415,                0.76578,                0.81963,                0.36288,                 1.2183,               0.005314,               0.005314,               0.005314
                    144,                0.84589,                0.56549,                 1.0838,                0.93523,                0.95489,                0.97509,                0.76733,                0.81934,                0.36032,                 1.2164,               0.005281,               0.005281,               0.005281
                    145,                0.85043,                0.56814,                 1.0822,                0.94324,                0.94394,                0.97442,                0.76367,                0.82008,                0.36228,                 1.2183,               0.005248,               0.005248,               0.005248
