                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0548,                0.88052,                 1.2256,                0.86674,                0.88875,                0.92584,                0.69425,                0.92995,                0.53639,                 1.3388,             0.00010882,             0.00010882,             0.00010882
                     36,                 1.0538,                0.88972,                 1.2293,                0.87094,                0.88921,                0.92313,                0.68524,                0.93777,                0.53892,                 1.3427,             0.00010223,             0.00010223,             0.00010223
                     37,                 1.0489,                0.87553,                 1.2236,                 0.8698,                0.90802,                0.92817,                0.69853,                0.92114,                0.52985,                 1.3288,             9.5638e-05,             9.5638e-05,             9.5638e-05
                     38,                 1.0484,                0.87502,                 1.2182,                 0.8614,                0.90595,                0.92873,                0.69993,                0.92173,                0.52409,                 1.3287,             8.9044e-05,             8.9044e-05,             8.9044e-05
                     39,                 1.0353,                0.86195,                 1.2149,                0.87825,                0.89607,                0.92855,                0.70197,                0.91555,                0.51763,                 1.3229,             8.2451e-05,             8.2451e-05,             8.2451e-05
                     40,                 1.0412,                0.86471,                 1.2224,                0.87715,                0.90746,                 0.9307,                0.70111,                0.91626,                0.51919,                 1.3198,             7.5857e-05,             7.5857e-05,             7.5857e-05
                     41,                 1.0039,                0.78696,                 1.2805,                0.87797,                0.89663,                0.93124,                0.69946,                0.92924,                0.52862,                 1.3315,             6.9264e-05,             6.9264e-05,             6.9264e-05
                     42,                0.98816,                 0.7758,                 1.2593,                0.87668,                0.88155,                0.92936,                0.69952,                0.91777,                0.52237,                 1.3171,             6.2671e-05,             6.2671e-05,             6.2671e-05
                     43,                 0.9773,                0.75963,                 1.2582,                0.87443,                 0.9127,                 0.9372,                0.70418,                0.91971,                0.51411,                 1.3178,             5.6077e-05,             5.6077e-05,             5.6077e-05
                     44,                0.97306,                0.75488,                 1.2527,                0.86994,                0.89673,                0.93082,                0.70251,                0.90679,                0.51856,                 1.3087,             4.9484e-05,             4.9484e-05,             4.9484e-05
                     45,                0.96307,                0.74286,                 1.2373,                0.85548,                0.93594,                0.93678,                0.71081,                0.89935,                0.50697,                 1.3029,              4.289e-05,              4.289e-05,              4.289e-05
                     46,                0.96014,                0.74011,                 1.2451,                0.87563,                0.91764,                0.94032,                0.71136,                0.90177,                0.50533,                 1.3045,             3.6297e-05,             3.6297e-05,             3.6297e-05
                     47,                0.96243,                0.74295,                 1.2436,                0.88053,                0.88812,                0.93453,                0.70677,                0.89958,                 0.5084,                 1.3027,             2.9704e-05,             2.9704e-05,             2.9704e-05
                     48,                0.95135,                0.73141,                 1.2337,                0.86782,                0.91697,                0.93548,                 0.7098,                0.90117,                0.50693,                 1.3024,              2.311e-05,              2.311e-05,              2.311e-05
                     49,                0.94217,                0.72285,                 1.2277,                0.86154,                 0.9252,                0.93773,                0.71262,                0.89303,                0.50263,                 1.2958,             1.6517e-05,             1.6517e-05,             1.6517e-05
                     50,                0.94813,                   0.73,                 1.2378,                0.87292,                0.92069,                0.93924,                0.71456,                 0.8921,                0.50072,                 1.2968,             9.9234e-06,             9.9234e-06,             9.9234e-06
