                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.93799,                0.80474,                0.95982,                0.90695,                0.93339,                0.95381,                0.72116,                0.90068,                0.51056,                 0.9636,             0.00010882,             0.00010882,             0.00010882
                     36,                0.94056,                 0.8107,                 0.9624,                0.90114,                0.92395,                0.95476,                0.72141,                0.89273,                0.50349,                0.96081,             0.00010223,             0.00010223,             0.00010223
                     37,                0.93311,                 0.7941,                0.95863,                0.90966,                 0.9293,                0.95804,                0.73021,                0.88276,                0.49661,                0.95524,             9.5638e-05,             9.5638e-05,             9.5638e-05
                     38,                0.93569,                0.79778,                0.95734,                0.90407,                0.92531,                0.95417,                0.72674,                0.88383,                0.49479,                0.95853,             8.9044e-05,             8.9044e-05,             8.9044e-05
                     39,                0.92322,                0.78463,                0.95447,                0.89369,                0.93253,                0.95749,                0.73056,                0.88334,                0.49611,                0.95614,             8.2451e-05,             8.2451e-05,             8.2451e-05
                     40,                0.92614,                0.78334,                0.95831,                0.89036,                0.94226,                0.95491,                0.72679,                0.87899,                0.49203,                0.95698,             7.5857e-05,             7.5857e-05,             7.5857e-05
                     41,                0.90261,                0.70183,                0.96209,                0.90217,                0.92189,                0.95548,                0.72937,                0.87168,                0.49615,                0.95077,             6.9264e-05,             6.9264e-05,             6.9264e-05
                     42,                0.88862,                0.68786,                0.95598,                0.90221,                0.92493,                0.95392,                0.72779,                0.87278,                0.49184,                0.95266,             6.2671e-05,             6.2671e-05,             6.2671e-05
                     43,                 0.8809,                 0.6769,                0.95449,                 0.8975,                0.94417,                0.96203,                0.73577,                0.86731,                0.48014,                0.94968,             5.6077e-05,             5.6077e-05,             5.6077e-05
                     44,                0.87481,                0.66736,                0.95248,                0.90016,                0.92423,                0.95818,                0.73426,                0.86349,                0.48521,                 0.9479,             4.9484e-05,             4.9484e-05,             4.9484e-05
                     45,                0.86732,                0.65933,                0.94612,                0.90789,                0.93507,                0.96027,                0.73486,                0.86311,                0.47976,                0.94717,              4.289e-05,              4.289e-05,              4.289e-05
                     46,                0.86523,                0.65518,                0.94727,                0.89486,                0.94961,                0.95926,                0.73363,                0.86012,                0.47636,                0.94846,             3.6297e-05,             3.6297e-05,             3.6297e-05
                     47,                 0.8648,                0.65697,                0.94913,                0.89821,                0.94797,                0.96048,                 0.7334,                0.85837,                0.47554,                0.94855,             2.9704e-05,             2.9704e-05,             2.9704e-05
                     48,                0.85608,                 0.6458,                0.94503,                0.89531,                0.95002,                0.96064,                0.73277,                0.86007,                0.47486,                0.94683,              2.311e-05,              2.311e-05,              2.311e-05
                     49,                0.85149,                0.63974,                0.94222,                0.89574,                0.95117,                 0.9599,                0.73772,                0.85297,                0.47144,                0.94437,             1.6517e-05,             1.6517e-05,             1.6517e-05
                     50,                 0.8536,                0.64777,                0.94497,                0.89429,                0.95387,                0.96173,                0.73799,                 0.8528,                0.46898,                0.94424,             9.9234e-06,             9.9234e-06,             9.9234e-06
