                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1524,                 1.0638,                 1.3047,                0.82137,                 0.8634,                0.89217,                 0.6513,                0.97416,                0.62226,                  1.395,             0.00010882,             0.00010882,             0.00010882
                     36,                 1.1517,                 1.0668,                 1.2996,                0.83141,                0.84178,                0.88445,                 0.6424,                0.97517,                 0.6263,                 1.3945,             0.00010223,             0.00010223,             0.00010223
                     37,                 1.1378,                 1.0406,                 1.2951,                0.82019,                0.86512,                0.88922,                0.65127,                0.96924,                0.62861,                 1.3892,             9.5638e-05,             9.5638e-05,             9.5638e-05
                     38,                 1.1416,                 1.0455,                 1.2902,                0.84041,                0.85282,                0.88875,                0.64864,                0.98356,                0.61962,                 1.3978,             8.9044e-05,             8.9044e-05,             8.9044e-05
                     39,                 1.1335,                 1.0288,                 1.2872,                 0.8327,                0.85556,                0.89132,                0.65484,                0.96046,                0.60779,                  1.383,             8.2451e-05,             8.2451e-05,             8.2451e-05
                     40,                 1.1259,                 1.0293,                 1.2908,                0.82594,                0.85166,                0.88574,                0.65028,                 0.9614,                0.61593,                 1.3802,             7.5857e-05,             7.5857e-05,             7.5857e-05
                     41,                 1.0787,                0.92718,                 1.3505,                0.83005,                 0.8588,                0.89101,                0.65314,                0.95688,                0.61082,                 1.3802,             6.9264e-05,             6.9264e-05,             6.9264e-05
                     42,                 1.0718,                0.91377,                 1.3353,                 0.8203,                 0.8656,                0.89389,                0.66036,                0.95236,                0.60437,                 1.3732,             6.2671e-05,             6.2671e-05,             6.2671e-05
                     43,                  1.064,                0.90208,                 1.3267,                0.83707,                0.85746,                0.89452,                0.65716,                0.95629,                0.59923,                 1.3759,             5.6077e-05,             5.6077e-05,             5.6077e-05
                     44,                 1.0572,                0.89708,                 1.3266,                0.84051,                0.84462,                 0.8923,                0.65999,                0.94452,                0.59513,                 1.3648,             4.9484e-05,             4.9484e-05,             4.9484e-05
                     45,                 1.0504,                0.88671,                 1.3175,                0.82307,                0.87379,                0.89783,                0.66433,                0.94705,                0.58899,                 1.3655,              4.289e-05,              4.289e-05,              4.289e-05
                     46,                 1.0356,                0.87064,                 1.3149,                0.85443,                0.85398,                0.90012,                0.66382,                0.94606,                0.58648,                 1.3647,             3.6297e-05,             3.6297e-05,             3.6297e-05
                     47,                 1.0415,                0.88274,                 1.3181,                0.84124,                0.86229,                0.89888,                0.66465,                0.93969,                 0.5849,                 1.3577,             2.9704e-05,             2.9704e-05,             2.9704e-05
                     48,                 1.0351,                0.86951,                 1.3062,                0.85357,                0.85842,                 0.9014,                0.67064,                0.93782,                0.58321,                 1.3581,              2.311e-05,              2.311e-05,              2.311e-05
                     49,                 1.0289,                0.86635,                 1.3031,                0.84274,                0.85875,                0.90057,                 0.6677,                0.93513,                0.58137,                 1.3547,             1.6517e-05,             1.6517e-05,             1.6517e-05
                     50,                 1.0244,                0.86505,                 1.3049,                 0.8494,                0.85117,                0.89982,                0.66907,                0.93262,                0.58023,                 1.3514,             9.9234e-06,             9.9234e-06,             9.9234e-06
