                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                  1.007,                0.74849,                 1.1808,                0.90494,                0.92192,                0.95332,                0.71236,                 0.9486,                0.46911,                 1.3385,               0.008845,               0.008845,               0.008845
                     37,                 1.0046,                0.73608,                 1.1778,                0.90999,                0.93877,                0.96233,                0.72463,                0.91916,                0.45723,                 1.3139,               0.008812,               0.008812,               0.008812
                     38,                0.99833,                0.73224,                 1.1688,                0.92407,                0.93594,                0.96033,                0.72182,                0.92656,                0.45225,                 1.3172,               0.008779,               0.008779,               0.008779
                     39,                0.99126,                0.71935,                 1.1687,                 0.8891,                0.95812,                 0.9557,                0.71778,                0.91706,                0.45345,                 1.3081,               0.008746,               0.008746,               0.008746
                     40,                0.99541,                0.72435,                 1.1756,                0.90137,                0.92936,                0.95406,                0.71317,                 0.9282,                0.45888,                 1.3165,               0.008713,               0.008713,               0.008713
                     41,                0.99259,                0.72703,                 1.1812,                0.90056,                 0.9225,                0.95168,                0.71476,                0.92607,                0.46197,                 1.3149,                0.00868,                0.00868,                0.00868
                     42,                0.98591,                0.71541,                 1.1691,                0.89801,                 0.9545,                0.96067,                0.72515,                0.90179,                0.44186,                 1.2919,               0.008647,               0.008647,               0.008647
                     43,                0.97922,                0.71376,                 1.1635,                0.91806,                 0.9234,                0.95831,                0.72192,                0.92113,                0.44601,                 1.3144,               0.008614,               0.008614,               0.008614
                     44,                0.98219,                0.71057,                 1.1588,                0.92173,                0.93039,                0.96214,                0.72541,                0.90465,                0.44078,                 1.2935,               0.008581,               0.008581,               0.008581
                     45,                0.97848,                0.70295,                 1.1695,                0.90616,                0.95314,                 0.9668,                 0.7284,                0.91139,                0.43273,                 1.3026,               0.008548,               0.008548,               0.008548
                     46,                0.97352,                0.69917,                 1.1619,                0.90336,                0.93747,                0.95069,                0.71705,                0.91368,                0.43811,                 1.3023,               0.008515,               0.008515,               0.008515
                     47,                0.97116,                0.69084,                 1.1585,                0.91625,                0.94841,                0.96634,                0.73465,                0.90518,                0.43134,                 1.2962,               0.008482,               0.008482,               0.008482
                     48,                0.97143,                0.69547,                 1.1577,                0.91404,                0.94422,                0.96471,                0.73048,                0.89769,                0.43405,                 1.2882,               0.008449,               0.008449,               0.008449
                     49,                0.95881,                0.68165,                 1.1515,                0.91453,                0.94696,                0.96648,                0.73188,                0.89236,                0.42743,                 1.2864,               0.008416,               0.008416,               0.008416
                     50,                0.96505,                0.69807,                 1.1526,                0.89696,                0.95139,                0.96156,                0.72806,                0.90865,                0.42689,                 1.2965,               0.008383,               0.008383,               0.008383
                     51,                  0.962,                 0.6851,                 1.1478,                0.93234,                0.95581,                0.96927,                 0.7315,                0.90464,                0.41818,                 1.2934,                0.00835,                0.00835,                0.00835
                     52,                0.96232,                0.68479,                 1.1564,                0.92472,                0.93912,                0.96686,                0.73518,                 0.8982,                0.42714,                 1.2877,               0.008317,               0.008317,               0.008317
                     53,                0.95768,                0.66593,                 1.1524,                0.92983,                0.95269,                0.96983,                0.74169,                0.88201,                0.40878,                 1.2735,               0.008284,               0.008284,               0.008284
                     54,                0.95616,                0.66837,                 1.1551,                 0.9257,                0.94626,                0.96495,                0.73276,                0.90347,                0.41993,                 1.2961,               0.008251,               0.008251,               0.008251
